English Variable,Category,Sub-Category,Measurement,Formatted
Plant System Cycle On Off Status,Plant,,System Cycle On Off Status,Plant: System Cycle On Off Status
Primary Side Common Pipe Flow Direction,Primary,,Side Common Pipe Flow Direction,Primary: Side Common Pipe Flow Direction
Pump Electricity Energy,Pump,,Electricity Energy,Pump: Electricity Energy
Pump Electricity Rate,Pump,,Electricity Rate,Pump: Electricity Rate
Pump Fluid Heat Gain Energy,Pump,,Fluid Heat Gain Energy,Pump: Fluid Heat Gain Energy
Pump Fluid Heat Gain Rate,Pump,,Fluid Heat Gain Rate,Pump: Fluid Heat Gain Rate
Pump Mass Flow Rate,Pump,,Mass Flow Rate,Pump: Mass Flow Rate
Pump Operating Pumps Count,Pump,,Operating Pumps Count,Pump: Operating Pumps Count
Pump Outlet Temperature,Pump,,Outlet Temperature,Pump: Outlet Temperature
Pump Shaft Power,Pump,,Shaft Power,Pump: Shaft Power
Pump Zone Convective Heating Rate,Pump Zone,,Convective Heating Rate,Pump Zone: Convective Heating Rate
Pump Zone Radiative Heating Rate,Pump Zone,,Radiative Heating Rate,Pump Zone: Radiative Heating Rate
Pump Zone Total Heating Energy,Pump Zone,,Total Heating Energy,Pump Zone: Total Heating Energy
Pump Zone Total Heating Rate,Pump Zone,,Total Heating Rate,Pump Zone: Total Heating Rate
Refrigeration Air Chiller System Average Compressor COP,Refrigeration Air Chiller System,,Average Compressor COP,Refrigeration Air Chiller System: Average Compressor COP
Refrigeration Air Chiller System Condensing Temperature,Refrigeration Air Chiller System,,Condensing Temperature,Refrigeration Air Chiller System: Condensing Temperature
Refrigeration Air Chiller System Estimated High Stage Refrigerant Mass Flow Rate,Refrigeration Air Chiller System,,Estimated High Stage Refrigerant Mass Flow Rate,Refrigeration Air Chiller System: Estimated High Stage Refrigerant Mass Flow Rate
Refrigeration Air Chiller System Estimated Low Stage Refrigerant Mass Flow Rate,Refrigeration Air Chiller System,,Estimated Low Stage Refrigerant Mass Flow Rate,Refrigeration Air Chiller System: Estimated Low Stage Refrigerant Mass Flow Rate
Refrigeration Air Chiller System Estimated Refrigerant Inventory Mass,Refrigeration Air Chiller System,,Estimated Refrigerant Inventory Mass,Refrigeration Air Chiller System: Estimated Refrigerant Inventory Mass
Refrigeration Air Chiller System Estimated Refrigerant Mass Flow Rate,Refrigeration Air Chiller System,,Estimated Refrigerant Mass Flow Rate,Refrigeration Air Chiller System: Estimated Refrigerant Mass Flow Rate
Refrigeration Air Chiller System Evaporating Temperature,Refrigeration Air Chiller System,,Evaporating Temperature,Refrigeration Air Chiller System: Evaporating Temperature
Refrigeration Air Chiller System Intercooler Pressure,Refrigeration Air Chiller System,,Intercooler Pressure,Refrigeration Air Chiller System: Intercooler Pressure
Refrigeration Air Chiller System Intercooler Temperature,Refrigeration Air Chiller System,,Intercooler Temperature,Refrigeration Air Chiller System: Intercooler Temperature
Refrigeration Air Chiller System Liquid Suction Subcooler Heat Transfer Energy,Refrigeration Air Chiller System,,Liquid Suction Subcooler Heat Transfer Energy,Refrigeration Air Chiller System: Liquid Suction Subcooler Heat Transfer Energy
Refrigeration Air Chiller System Liquid Suction Subcooler Heat Transfer Rate,Refrigeration Air Chiller System,,Liquid Suction Subcooler Heat Transfer Rate,Refrigeration Air Chiller System: Liquid Suction Subcooler Heat Transfer Rate
Refrigeration Air Chiller System Net Rejected Heat Transfer Energy,Refrigeration Air Chiller System,,Net Rejected Heat Transfer Energy,Refrigeration Air Chiller System: Net Rejected Heat Transfer Energy
Refrigeration Air Chiller System Net Rejected Heat Transfer Rate,Refrigeration Air Chiller System,,Net Rejected Heat Transfer Rate,Refrigeration Air Chiller System: Net Rejected Heat Transfer Rate
Refrigeration Air Chiller System Suction Temperature,Refrigeration Air Chiller System,,Suction Temperature,Refrigeration Air Chiller System: Suction Temperature
Refrigeration Air Chiller System TXV Liquid Temperature,Refrigeration Air Chiller System,,TXV Liquid Temperature,Refrigeration Air Chiller System: TXV Liquid Temperature
Refrigeration Air Chiller System Total Air Chiller Heat Transfer Rate,Refrigeration Air Chiller System,,Total Air Chiller Heat Transfer Rate,Refrigeration Air Chiller System: Total Air Chiller Heat Transfer Rate
Refrigeration Air Chiller System Total Case and Walk In Heat Transfer Energy,Refrigeration Air Chiller System,,Total Case and Walk In Heat Transfer Energy,Refrigeration Air Chiller System: Total Case and Walk In Heat Transfer Energy
Refrigeration Air Chiller System Total Compressor Electricity Energy,Refrigeration Air Chiller System,,Total Compressor Electricity Energy,Refrigeration Air Chiller System: Total Compressor Electricity Energy
Refrigeration Air Chiller System Total Compressor Electricity Rate,Refrigeration Air Chiller System,,Total Compressor Electricity Rate,Refrigeration Air Chiller System: Total Compressor Electricity Rate
Refrigeration Air Chiller System Total Compressor Heat Transfer Energy,Refrigeration Air Chiller System,,Total Compressor Heat Transfer Energy,Refrigeration Air Chiller System: Total Compressor Heat Transfer Energy
Refrigeration Air Chiller System Total Compressor Heat Transfer Rate,Refrigeration Air Chiller System,,Total Compressor Heat Transfer Rate,Refrigeration Air Chiller System: Total Compressor Heat Transfer Rate
Refrigeration Air Chiller System Total High Stage Compressor Electricity Energy,Refrigeration Air Chiller System,,Total High Stage Compressor Electricity Energy,Refrigeration Air Chiller System: Total High Stage Compressor Electricity Energy
Refrigeration Air Chiller System Total High Stage Compressor Electricity Rate,Refrigeration Air Chiller System,,Total High Stage Compressor Electricity Rate,Refrigeration Air Chiller System: Total High Stage Compressor Electricity Rate
Refrigeration Air Chiller System Total High Stage Compressor Heat Transfer Energy,Refrigeration Air Chiller System,,Total High Stage Compressor Heat Transfer Energy,Refrigeration Air Chiller System: Total High Stage Compressor Heat Transfer Energy
Refrigeration Air Chiller System Total High Stage Compressor Heat Transfer Rate,Refrigeration Air Chiller System,,Total High Stage Compressor Heat Transfer Rate,Refrigeration Air Chiller System: Total High Stage Compressor Heat Transfer Rate
Refrigeration Air Chiller System Total Low Stage Compressor Electricity Energy,Refrigeration Air Chiller System,,Total Low Stage Compressor Electricity Energy,Refrigeration Air Chiller System: Total Low Stage Compressor Electricity Energy
Refrigeration Air Chiller System Total Low Stage Compressor Electricity Rate,Refrigeration Air Chiller System,,Total Low Stage Compressor Electricity Rate,Refrigeration Air Chiller System: Total Low Stage Compressor Electricity Rate
Refrigeration Air Chiller System Total Low Stage Compressor Heat Transfer Energy,Refrigeration Air Chiller System,,Total Low Stage Compressor Heat Transfer Energy,Refrigeration Air Chiller System: Total Low Stage Compressor Heat Transfer Energy
Refrigeration Air Chiller System Total Low Stage Compressor Heat Transfer Rate,Refrigeration Air Chiller System,,Total Low Stage Compressor Heat Transfer Rate,Refrigeration Air Chiller System: Total Low Stage Compressor Heat Transfer Rate
Refrigeration Air Chiller System Total Low and High Stage Compressor Electricity Energy,Refrigeration Air Chiller System,,Total Low and High Stage Compressor Electricity Energy,Refrigeration Air Chiller System: Total Low and High Stage Compressor Electricity Energy
Refrigeration Air Chiller System Total Suction Pipe Heat Gain Energy,Refrigeration Air Chiller System,,Total Suction Pipe Heat Gain Energy,Refrigeration Air Chiller System: Total Suction Pipe Heat Gain Energy
Refrigeration Air Chiller System Total Suction Pipe Heat Gain Rate,Refrigeration Air Chiller System,,Total Suction Pipe Heat Gain Rate,Refrigeration Air Chiller System: Total Suction Pipe Heat Gain Rate
Refrigeration Air Chiller System Total Transferred Load Heat Transfer Energy,Refrigeration Air Chiller System,,Total Transferred Load Heat Transfer Energy,Refrigeration Air Chiller System: Total Transferred Load Heat Transfer Energy
Refrigeration Air Chiller System Total Transferred Load Heat Transfer Rate,Refrigeration Air Chiller System,,Total Transferred Load Heat Transfer Rate,Refrigeration Air Chiller System: Total Transferred Load Heat Transfer Rate
Refrigeration System Average Compressor COP,Refrigeration System,,Average Compressor COP,Refrigeration System: Average Compressor COP
Refrigeration System Condensing Temperature,Refrigeration System,,Condensing Temperature,Refrigeration System: Condensing Temperature
Refrigeration System Estimated High Stage Refrigerant Mass Flow Rate,Refrigeration System,,Estimated High Stage Refrigerant Mass Flow Rate,Refrigeration System: Estimated High Stage Refrigerant Mass Flow Rate
Refrigeration System Estimated Low Stage Refrigerant Mass Flow Rate,Refrigeration System,,Estimated Low Stage Refrigerant Mass Flow Rate,Refrigeration System: Estimated Low Stage Refrigerant Mass Flow Rate
Refrigeration System Estimated Refrigerant Inventory,Refrigeration System,,Estimated Refrigerant Inventory,Refrigeration System: Estimated Refrigerant Inventory
Refrigeration System Estimated Refrigerant Inventory Mass,Refrigeration System,,Estimated Refrigerant Inventory Mass,Refrigeration System: Estimated Refrigerant Inventory Mass
Refrigeration System Estimated Refrigerant Mass Flow Rate,Refrigeration System,,Estimated Refrigerant Mass Flow Rate,Refrigeration System: Estimated Refrigerant Mass Flow Rate
Refrigeration System Evaporating Temperature,Refrigeration System,,Evaporating Temperature,Refrigeration System: Evaporating Temperature
Refrigeration System Liquid Suction Subcooler Heat Transfer Energy,Refrigeration System,,Liquid Suction Subcooler Heat Transfer Energy,Refrigeration System: Liquid Suction Subcooler Heat Transfer Energy
Refrigeration System Liquid Suction Subcooler Heat Transfer Rate,Refrigeration System,,Liquid Suction Subcooler Heat Transfer Rate,Refrigeration System: Liquid Suction Subcooler Heat Transfer Rate
Refrigeration System Net Rejected Heat Transfer Energy,Refrigeration System,,Net Rejected Heat Transfer Energy,Refrigeration System: Net Rejected Heat Transfer Energy
Refrigeration System Net Rejected Heat Transfer Rate,Refrigeration System,,Net Rejected Heat Transfer Rate,Refrigeration System: Net Rejected Heat Transfer Rate
Refrigeration System Suction Pipe Suction Temperature,Refrigeration System,,Suction Pipe Suction Temperature,Refrigeration System: Suction Pipe Suction Temperature
Refrigeration System Thermostatic Expansion Valve Liquid Temperature,Refrigeration System,,Thermostatic Expansion Valve Liquid Temperature,Refrigeration System: Thermostatic Expansion Valve Liquid Temperature
Refrigeration System Total Cases and Walk Ins Heat Transfer Energy,Refrigeration System,,Total Cases and Walk Ins Heat Transfer Energy,Refrigeration System: Total Cases and Walk Ins Heat Transfer Energy
Refrigeration System Total Cases and Walk Ins Heat Transfer Rate,Refrigeration System,,Total Cases and Walk Ins Heat Transfer Rate,Refrigeration System: Total Cases and Walk Ins Heat Transfer Rate
Refrigeration System Total Compressor Electricity Energy,Refrigeration System,,Total Compressor Electricity Energy,Refrigeration System: Total Compressor Electricity Energy
Refrigeration System Total Compressor Electricity Rate,Refrigeration System,,Total Compressor Electricity Rate,Refrigeration System: Total Compressor Electricity Rate
Refrigeration System Total Compressor Heat Transfer Energy,Refrigeration System,,Total Compressor Heat Transfer Energy,Refrigeration System: Total Compressor Heat Transfer Energy
Refrigeration System Total Compressor Heat Transfer Rate,Refrigeration System,,Total Compressor Heat Transfer Rate,Refrigeration System: Total Compressor Heat Transfer Rate
Refrigeration System Total High Stage Compressor Electricity Energy,Refrigeration System,,Total High Stage Compressor Electricity Energy,Refrigeration System: Total High Stage Compressor Electricity Energy
Refrigeration System Total High Stage Compressor Electricity Rate,Refrigeration System,,Total High Stage Compressor Electricity Rate,Refrigeration System: Total High Stage Compressor Electricity Rate
Refrigeration System Total High Stage Compressor Heat Transfer Energy,Refrigeration System,,Total High Stage Compressor Heat Transfer Energy,Refrigeration System: Total High Stage Compressor Heat Transfer Energy
Refrigeration System Total High Stage Compressor Heat Transfer Rate,Refrigeration System,,Total High Stage Compressor Heat Transfer Rate,Refrigeration System: Total High Stage Compressor Heat Transfer Rate
Refrigeration System Total Low Stage Compressor Electricity Energy,Refrigeration System,,Total Low Stage Compressor Electricity Energy,Refrigeration System: Total Low Stage Compressor Electricity Energy
Refrigeration System Total Low Stage Compressor Electricity Rate,Refrigeration System,,Total Low Stage Compressor Electricity Rate,Refrigeration System: Total Low Stage Compressor Electricity Rate
Refrigeration System Total Low Stage Compressor Heat Transfer Energy,Refrigeration System,,Total Low Stage Compressor Heat Transfer Energy,Refrigeration System: Total Low Stage Compressor Heat Transfer Energy
Refrigeration System Total Low Stage Compressor Heat Transfer Rate,Refrigeration System,,Total Low Stage Compressor Heat Transfer Rate,Refrigeration System: Total Low Stage Compressor Heat Transfer Rate
Refrigeration System Total Low and High Stage Compressor Electricity Energy,Refrigeration System,,Total Low and High Stage Compressor Electricity Energy,Refrigeration System: Total Low and High Stage Compressor Electricity Energy
Refrigeration System Total Suction Pipe Heat Gain Energy,Refrigeration System,,Total Suction Pipe Heat Gain Energy,Refrigeration System: Total Suction Pipe Heat Gain Energy
Refrigeration System Total Suction Pipe Heat Gain Rate,Refrigeration System,,Total Suction Pipe Heat Gain Rate,Refrigeration System: Total Suction Pipe Heat Gain Rate
Refrigeration System Total Transferred Load Heat Transfer Energy,Refrigeration System,,Total Transferred Load Heat Transfer Energy,Refrigeration System: Total Transferred Load Heat Transfer Energy
Refrigeration System Total Transferred Load Heat Transfer Rate,Refrigeration System,,Total Transferred Load Heat Transfer Rate,Refrigeration System: Total Transferred Load Heat Transfer Rate
Refrigeration Walk In Zone Latent Energy,Refrigeration Walk In,,Zone Latent Energy,Refrigeration Walk In: Zone Latent Energy
Refrigeration Walk In Zone Latent Rate,Refrigeration Walk In,,Zone Latent Rate,Refrigeration Walk In: Zone Latent Rate
Refrigeration Walk In Zone Sensible Cooling Energy,Refrigeration Walk In,,Zone Sensible Cooling Energy,Refrigeration Walk In: Zone Sensible Cooling Energy
Refrigeration Walk In Zone Sensible Cooling Rate,Refrigeration Walk In,,Zone Sensible Cooling Rate,Refrigeration Walk In: Zone Sensible Cooling Rate
Refrigeration Walk In Zone Sensible Heating Energy,Refrigeration Walk In,,Zone Sensible Heating Energy,Refrigeration Walk In: Zone Sensible Heating Energy
Refrigeration Walk In Zone Sensible Heating Rate,Refrigeration Walk In,,Zone Sensible Heating Rate,Refrigeration Walk In: Zone Sensible Heating Rate
Refrigeration Zone Air Chiller Heating Energy,Refrigeration Zone Air Chiller,,Heating Energy,Refrigeration Zone Air Chiller: Heating Energy
Refrigeration Zone Air Chiller Heating Rate,Refrigeration Zone Air Chiller,,Heating Rate,Refrigeration Zone Air Chiller: Heating Rate
Refrigeration Zone Air Chiller Latent Cooling Energy,Refrigeration Zone Air Chiller,,Latent Cooling Energy,Refrigeration Zone Air Chiller: Latent Cooling Energy
Refrigeration Zone Air Chiller Latent Cooling Rate,Refrigeration Zone Air Chiller,,Latent Cooling Rate,Refrigeration Zone Air Chiller: Latent Cooling Rate
Refrigeration Zone Air Chiller Sensible Cooling Energy,Refrigeration Zone Air Chiller,,Sensible Cooling Energy,Refrigeration Zone Air Chiller: Sensible Cooling Energy
Refrigeration Zone Air Chiller Sensible Cooling Rate,Refrigeration Zone Air Chiller,,Sensible Cooling Rate,Refrigeration Zone Air Chiller: Sensible Cooling Rate
Refrigeration Zone Air Chiller Total Cooling Energy,Refrigeration Zone Air Chiller,,Total Cooling Energy,Refrigeration Zone Air Chiller: Total Cooling Energy
Refrigeration Zone Air Chiller Total Cooling Rate,Refrigeration Zone Air Chiller,,Total Cooling Rate,Refrigeration Zone Air Chiller: Total Cooling Rate
Refrigeration Zone Air Chiller Water Removed Mass Flow Rate,Refrigeration Zone Air Chiller,,Water Removed Mass Flow Rate,Refrigeration Zone Air Chiller: Water Removed Mass Flow Rate
Schedule Value,Schedule,,Value,Schedule: Value
Secondary Side Common Pipe Flow Direction,Secondary,,Side Common Pipe Flow Direction,Secondary: Side Common Pipe Flow Direction
Solar Collector Absorber Plate Temperature,Solar Collector,,Absorber Plate Temperature,Solar Collector: Absorber Plate Temperature
Solar Collector Efficiency,Solar Collector,,Efficiency,Solar Collector: Efficiency
Solar Collector Heat Gain Rate,Solar Collector,,Heat Gain Rate,Solar Collector: Heat Gain Rate
Solar Collector Heat Loss Rate,Solar Collector,,Heat Loss Rate,Solar Collector: Heat Loss Rate
Solar Collector Heat Transfer Energy,Solar Collector,,Heat Transfer Energy,Solar Collector: Heat Transfer Energy
Solar Collector Heat Transfer Rate,Solar Collector,,Heat Transfer Rate,Solar Collector: Heat Transfer Rate
Solar Collector Incident Angle Modifier,Solar Collector,,Incident Angle Modifier,Solar Collector: Incident Angle Modifier
Solar Collector Overall Top Heat Loss Coefficient,Solar Collector,,Overall Top Heat Loss Coefficient,Solar Collector: Overall Top Heat Loss Coefficient
Solar Collector Skin Heat Transfer Energy,Solar Collector,,Skin Heat Transfer Energy,Solar Collector: Skin Heat Transfer Energy
Solar Collector Skin Heat Transfer Rate,Solar Collector,,Skin Heat Transfer Rate,Solar Collector: Skin Heat Transfer Rate
Solar Collector Storage Heat Transfer Energy,Solar Collector,,Storage Heat Transfer Energy,Solar Collector: Storage Heat Transfer Energy
Solar Collector Storage Heat Transfer Rate,Solar Collector,,Storage Heat Transfer Rate,Solar Collector: Storage Heat Transfer Rate
Solar Collector Storage Water Temperature,Solar Collector,,Storage Water Temperature,Solar Collector: Storage Water Temperature
Solar Collector Thermal Efficiency,Solar Collector,,Thermal Efficiency,Solar Collector: Thermal Efficiency
Solar Collector Transmittance Absorptance Product,Solar Collector,,Transmittance Absorptance Product,Solar Collector: Transmittance Absorptance Product
System Node Current Density,System Node,,Current Density,System Node: Current Density
System Node Current Density Volume Flow Rate,System Node,,Current Density Volume Flow Rate,System Node: Current Density Volume Flow Rate
System Node Dewpoint Temperature,System Node,,Dewpoint Temperature,System Node: Dewpoint Temperature
System Node Enthalpy,System Node,,Enthalpy,System Node: Enthalpy
System Node Height,System Node,,Height,System Node: Height
System Node Humidity Ratio,System Node,,Humidity Ratio,System Node: Humidity Ratio
System Node Last Timestep Enthalpy,System Node,,Last Timestep Enthalpy,System Node: Last Timestep Enthalpy
System Node Last Timestep Temperature,System Node,,Last Timestep Temperature,System Node: Last Timestep Temperature
System Node Mass Flow Rate,System Node,,Mass Flow Rate,System Node: Mass Flow Rate
System Node Pressure,System Node,,Pressure,System Node: Pressure
System Node Quality,System Node,,Quality,System Node: Quality
System Node Relative Humidity,System Node,,Relative Humidity,System Node: Relative Humidity
System Node Setpoint High Temperature,System Node,,Setpoint High Temperature,System Node: Setpoint High Temperature
System Node Setpoint Humidity Ratio,System Node,,Setpoint Humidity Ratio,System Node: Setpoint Humidity Ratio
System Node Setpoint Low Temperature,System Node,,Setpoint Low Temperature,System Node: Setpoint Low Temperature
System Node Setpoint Maximum Humidity Ratio,System Node,,Setpoint Maximum Humidity Ratio,System Node: Setpoint Maximum Humidity Ratio
System Node Setpoint Minimum Humidity Ratio,System Node,,Setpoint Minimum Humidity Ratio,System Node: Setpoint Minimum Humidity Ratio
System Node Setpoint Temperature,System Node,,Setpoint Temperature,System Node: Setpoint Temperature
System Node Specific Heat,System Node,,Specific Heat,System Node: Specific Heat
System Node Standard Density Volume Flow Rate,System Node,,Standard Density Volume Flow Rate,System Node: Standard Density Volume Flow Rate
System Node Temperature,System Node,,Temperature,System Node: Temperature
System Node Wetbulb Temperature,System Node,,Wetbulb Temperature,System Node: Wetbulb Temperature
Thermosiphon Status,Thermosiphon,,Status,Thermosiphon: Status
Unitary System Ancillary Electricity Rate,Unitary System,,Ancillary Electricity Rate,Unitary System: Ancillary Electricity Rate
Unitary System Compressor Part Load Ratio,Unitary System,,Compressor Part Load Ratio,Unitary System: Compressor Part Load Ratio
Unitary System Compressor Speed Ratio,Unitary System,,Compressor Speed Ratio,Unitary System: Compressor Speed Ratio
Unitary System Cooling Ancillary Electricity Energy,Unitary System,,Cooling Ancillary Electricity Energy,Unitary System: Cooling Ancillary Electricity Energy
Unitary System Cycling Ratio,Unitary System,,Cycling Ratio,Unitary System: Cycling Ratio
Unitary System DX Coil Cycling Ratio,Unitary System,,DX Coil Cycling Ratio,Unitary System: DX Coil Cycling Ratio
Unitary System DX Coil Speed Level,Unitary System,,DX Coil Speed Level,Unitary System: DX Coil Speed Level
Unitary System DX Coil Speed Ratio,Unitary System,,DX Coil Speed Ratio,Unitary System: DX Coil Speed Ratio
Unitary System Electricity Energy,Unitary System,,Electricity Energy,Unitary System: Electricity Energy
Unitary System Electricity Rate,Unitary System,,Electricity Rate,Unitary System: Electricity Rate
Unitary System Fan Part Load Ratio,Unitary System,,Fan Part Load Ratio,Unitary System: Fan Part Load Ratio
Unitary System Heat Recovery Energy,Unitary System,,Heat Recovery Energy,Unitary System: Heat Recovery Energy
Unitary System Heat Recovery Fluid Mass Flow Rate,Unitary System,,Heat Recovery Fluid Mass Flow Rate,Unitary System: Heat Recovery Fluid Mass Flow Rate
Unitary System Heat Recovery Inlet Temperature,Unitary System,,Heat Recovery Inlet Temperature,Unitary System: Heat Recovery Inlet Temperature
Unitary System Heat Recovery Outlet Temperature,Unitary System,,Heat Recovery Outlet Temperature,Unitary System: Heat Recovery Outlet Temperature
Unitary System Heat Recovery Rate,Unitary System,,Heat Recovery Rate,Unitary System: Heat Recovery Rate
Unitary System Heating Ancillary Electricity Energy,Unitary System,,Heating Ancillary Electricity Energy,Unitary System: Heating Ancillary Electricity Energy
Unitary System Latent Cooling Rate,Unitary System,,Latent Cooling Rate,Unitary System: Latent Cooling Rate
Unitary System Latent Heating Rate,Unitary System,,Latent Heating Rate,Unitary System: Latent Heating Rate
Unitary System Predicted Moisture Load to Setpoint Heat Transfer Rate,Unitary System,,Predicted Moisture Load to Setpoint Heat Transfer Rate,Unitary System: Predicted Moisture Load to Setpoint Heat Transfer Rate
Unitary System Predicted Sensible Load to Setpoint Heat Transfer Rate,Unitary System,,Predicted Sensible Load to Setpoint Heat Transfer Rate,Unitary System: Predicted Sensible Load to Setpoint Heat Transfer Rate
Unitary System Requested Heating Rate,Unitary System,,Requested Heating Rate,Unitary System: Requested Heating Rate
Unitary System Requested Latent Cooling Rate,Unitary System,,Requested Latent Cooling Rate,Unitary System: Requested Latent Cooling Rate
Unitary System Requested Sensible Cooling Rate,Unitary System,,Requested Sensible Cooling Rate,Unitary System: Requested Sensible Cooling Rate
Unitary System Sensible Cooling Rate,Unitary System,,Sensible Cooling Rate,Unitary System: Sensible Cooling Rate
Unitary System Sensible Heating Rate,Unitary System,,Sensible Heating Rate,Unitary System: Sensible Heating Rate
Unitary System Total Cooling Rate,Unitary System,,Total Cooling Rate,Unitary System: Total Cooling Rate
Unitary System Total Heating Rate,Unitary System,,Total Heating Rate,Unitary System: Total Heating Rate
Unitary System Water Coil Cycling Ratio,Unitary System,,Water Coil Cycling Ratio,Unitary System: Water Coil Cycling Ratio
Unitary System Water Coil Speed Level,Unitary System,,Water Coil Speed Level,Unitary System: Water Coil Speed Level
Unitary System Water Coil Speed Ratio,Unitary System,,Water Coil Speed Ratio,Unitary System: Water Coil Speed Ratio
VRF Heat Pump Basin Heater Electricity Energy,VRF Heat Pump,,Basin Heater Electricity Energy,VRF Heat Pump: Basin Heater Electricity Energy
VRF Heat Pump Basin Heater Electricity Rate,VRF Heat Pump,,Basin Heater Electricity Rate,VRF Heat Pump: Basin Heater Electricity Rate
VRF Heat Pump COP,VRF Heat Pump,,COP,VRF Heat Pump: COP
VRF Heat Pump Condenser Heat Transfer Energy,VRF Heat Pump,,Condenser Heat Transfer Energy,VRF Heat Pump: Condenser Heat Transfer Energy
VRF Heat Pump Condenser Heat Transfer Rate,VRF Heat Pump,,Condenser Heat Transfer Rate,VRF Heat Pump: Condenser Heat Transfer Rate
VRF Heat Pump Condenser Inlet Temperature,VRF Heat Pump,,Condenser Inlet Temperature,VRF Heat Pump: Condenser Inlet Temperature
VRF Heat Pump Condenser Mass Flow Rate,VRF Heat Pump,,Condenser Mass Flow Rate,VRF Heat Pump: Condenser Mass Flow Rate
VRF Heat Pump Condenser Outlet Temperature,VRF Heat Pump,,Condenser Outlet Temperature,VRF Heat Pump: Condenser Outlet Temperature
VRF Heat Pump Cooling COP,VRF Heat Pump,,Cooling COP,VRF Heat Pump: Cooling COP
VRF Heat Pump Cooling Electricity Energy,VRF Heat Pump,,Cooling Electricity Energy,VRF Heat Pump: Cooling Electricity Energy
VRF Heat Pump Cooling Electricity Rate,VRF Heat Pump,,Cooling Electricity Rate,VRF Heat Pump: Cooling Electricity Rate
VRF Heat Pump Crankcase Heater Electricity Energy,VRF Heat Pump,,Crankcase Heater Electricity Energy,VRF Heat Pump: Crankcase Heater Electricity Energy
VRF Heat Pump Crankcase Heater Electricity Rate,VRF Heat Pump,,Crankcase Heater Electricity Rate,VRF Heat Pump: Crankcase Heater Electricity Rate
VRF Heat Pump Cycling Ratio,VRF Heat Pump,,Cycling Ratio,VRF Heat Pump: Cycling Ratio
VRF Heat Pump Defrost Electricity Energy,VRF Heat Pump,,Defrost Electricity Energy,VRF Heat Pump: Defrost Electricity Energy
VRF Heat Pump Defrost Electricity Rate,VRF Heat Pump,,Defrost Electricity Rate,VRF Heat Pump: Defrost Electricity Rate
VRF Heat Pump Evaporative Condenser Pump Electricity Energy,VRF Heat Pump,,Evaporative Condenser Pump Electricity Energy,VRF Heat Pump: Evaporative Condenser Pump Electricity Energy
VRF Heat Pump Evaporative Condenser Pump Electricity Rate,VRF Heat Pump,,Evaporative Condenser Pump Electricity Rate,VRF Heat Pump: Evaporative Condenser Pump Electricity Rate
VRF Heat Pump Evaporative Condenser Water Use Volume,VRF Heat Pump,,Evaporative Condenser Water Use Volume,VRF Heat Pump: Evaporative Condenser Water Use Volume
VRF Heat Pump Heat Recovery Status Change Multiplier,VRF Heat Pump,,Heat Recovery Status Change Multiplier,VRF Heat Pump: Heat Recovery Status Change Multiplier
VRF Heat Pump Heating COP,VRF Heat Pump,,Heating COP,VRF Heat Pump: Heating COP
VRF Heat Pump Heating Electricity Energy,VRF Heat Pump,,Heating Electricity Energy,VRF Heat Pump: Heating Electricity Energy
VRF Heat Pump Heating Electricity Rate,VRF Heat Pump,,Heating Electricity Rate,VRF Heat Pump: Heating Electricity Rate
VRF Heat Pump Maximum Capacity Cooling Rate,VRF Heat Pump,,Maximum Capacity Cooling Rate,VRF Heat Pump: Maximum Capacity Cooling Rate
VRF Heat Pump Maximum Capacity Heating Rate,VRF Heat Pump,,Maximum Capacity Heating Rate,VRF Heat Pump: Maximum Capacity Heating Rate
VRF Heat Pump Operating Mode,VRF Heat Pump,,Operating Mode,VRF Heat Pump: Operating Mode
VRF Heat Pump Part Load Ratio,VRF Heat Pump,,Part Load Ratio,VRF Heat Pump: Part Load Ratio
VRF Heat Pump Runtime Fraction,VRF Heat Pump,,Runtime Fraction,VRF Heat Pump: Runtime Fraction
VRF Heat Pump Simultaneous Cooling and Heating Efficiency,VRF Heat Pump,,Simultaneous Cooling and Heating Efficiency,VRF Heat Pump: Simultaneous Cooling and Heating Efficiency
VRF Heat Pump Terminal Unit Cooling Load Rate,VRF Heat Pump,,Terminal Unit Cooling Load Rate,VRF Heat Pump: Terminal Unit Cooling Load Rate
VRF Heat Pump Terminal Unit Heating Load Rate,VRF Heat Pump,,Terminal Unit Heating Load Rate,VRF Heat Pump: Terminal Unit Heating Load Rate
VRF Heat Pump Total Cooling Rate,VRF Heat Pump,,Total Cooling Rate,VRF Heat Pump: Total Cooling Rate
VRF Heat Pump Total Heating Rate,VRF Heat Pump,,Total Heating Rate,VRF Heat Pump: Total Heating Rate
VSAirtoAirHP Recoverable Waste Heat,VSAirtoAirHP,,Recoverable Waste Heat,VSAirtoAirHP: Recoverable Waste Heat
Water Heater Coal Energy,Water Heater,,Coal Energy,Water Heater: Coal Energy
Water Heater Coal Rate,Water Heater,,Coal Rate,Water Heater: Coal Rate
Water Heater Cycle On Count,Water Heater,,Cycle On Count,Water Heater: Cycle On Count
Water Heater Diesel Energy,Water Heater,,Diesel Energy,Water Heater: Diesel Energy
Water Heater Diesel Rate,Water Heater,,Diesel Rate,Water Heater: Diesel Rate
Water Heater Electricity Energy,Water Heater,,Electricity Energy,Water Heater: Electricity Energy
Water Heater Electricity Rate,Water Heater,,Electricity Rate,Water Heater: Electricity Rate
